StartTime: 2016-05-10 20:52:34.086
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
138.387	-0.2676	-0.2500	0.9219	0.0000	0.1221	-0.1221	-15.3754	15.9302	54.1077	44.4600	212	144	52 
138.492	-0.2715	-0.2524	0.9170	-0.5493	-0.6104	0.0610	-15.3644	15.9631	54.0857	44.4700	212	136	52 
138.590	-0.2729	-0.2515	0.9189	-0.1221	0.0610	0.0000	-15.3699	15.9467	54.0857	44.4700	215	143	49 
138.678	-0.2710	-0.2495	0.9165	-0.3662	-0.2441	-0.1831	-15.3644	15.9302	54.0967	44.4700	212	140	48 
138.782	-0.2754	-0.2510	0.9155	-0.2441	0.1221	-0.1221	-15.3699	15.9247	54.0198	44.4700	208	144	48 
138.897	-0.2681	-0.2510	0.9214	0.2441	0.6104	0.0610	-15.3864	15.9192	54.0253	44.4600	217	137	47 
138.985	-0.2700	-0.2520	0.9175	-0.2441	-0.1831	0.0610	-15.3754	15.9521	54.0637	44.4800	213	145	53 
139.070	-0.2715	-0.2544	0.9165	-0.3052	-0.4883	0.0000	-15.3754	15.9631	54.1461	44.4700	211	143	53 
139.190	-0.2764	-0.2524	0.9189	-0.3052	-0.4883	0.0610	-15.3699	15.9796	54.0912	44.4700	219	139	51 
139.277	-0.2769	-0.2534	0.9141	-0.3052	0.0000	-0.0610	-15.3699	15.9961	54.1406	44.4600	220	150	52 
139.390	-0.2700	-0.2520	0.9189	-0.3662	-0.7935	-0.1831	-15.3699	15.9192	54.1187	44.4700	215	145	55 
139.488	-0.2710	-0.2505	0.9155	-0.4272	-0.0610	-0.1221	-15.3699	15.9357	54.1351	44.4700	225	145	43 
139.592	-0.2729	-0.2520	0.9180	-0.0610	0.4272	0.0610	-15.3699	15.9521	54.1241	44.4700	209	137	53 
139.698	-0.2739	-0.2495	0.9194	0.0610	0.6104	0.1831	-15.3479	15.9796	54.1736	44.4700	209	139	47 
139.791	-0.2627	-0.2607	0.9248	-0.2441	-1.0376	-0.0610	-15.3973	15.9137	54.2944	44.4900	217	135	57
