StartTime: 2016-05-10 20:59:01.990
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
90.115	-0.0864	-0.2607	0.9517	-0.1221	-0.7935	-0.9155	-15.1062	4.8889	57.0026	46.5000	144	86	42 
90.126	-0.0840	-0.2593	0.9502	0.0000	-1.8311	-1.0986	-15.1117	4.8724	57.0081	46.4900	153	91	39 
90.174	-0.0791	-0.2568	0.9512	0.2441	-2.1973	-1.4648	-15.1117	4.8395	57.0135	46.4900	154	88	44 
90.175	-0.0767	-0.2559	0.9502	0.3052	-1.2817	-1.6479	-15.1062	4.8120	57.0245	46.4800	154	88	44 
90.175	-0.0752	-0.2549	0.9512	0.3052	0.2441	-1.6479	-15.1062	4.7955	57.0300	46.5000	153	89	43 
90.175	-0.0781	-0.2510	0.9531	0.3052	1.9531	-1.5869	-15.0952	4.8065	57.0245	46.5000	153	89	43 
90.186	-0.0845	-0.2520	0.9512	-0.0610	4.6997	-1.3428	-15.0897	4.8395	57.0081	46.4900	154	90	48 
90.277	-0.0874	-0.2554	0.9478	-0.3052	5.0049	-1.3428	-15.0897	4.8889	56.9806	46.5000	152	94	48 
90.278	-0.0908	-0.2578	0.9478	-0.4883	4.3335	-1.2207	-15.1007	4.9329	56.9366	46.5000	152	94	48 
90.293	-0.0918	-0.2603	0.9468	-0.5493	2.8687	-1.0986	-15.1117	4.9658	56.9531	46.5200	155	89	33 
90.294	-0.0908	-0.2622	0.9463	-0.0610	-0.5493	-0.6714	-15.1227	4.9713	56.9641	46.4900	148	86	44 
90.294	-0.0889	-0.2603	0.9463	0.0610	-1.7700	-0.3662	-15.1282	4.9658	56.9751	46.4900	148	86	44 
90.296	-0.0879	-0.2563	0.9463	0.1221	-2.3193	-0.0610	-15.1282	4.9493	57.0081	46.5000	155	85	39 
90.296	-0.0850	-0.2559	0.9434	0.1831	-2.3193	0.2441	-15.1282	4.9274	57.0630	46.5100	155	85	39 
90.297	-0.0825	-0.2534	0.9482	0.1221	-1.0376	0.6714	-15.1227	4.9164	57.1069	46.5000	151	85	41 
90.297	-0.0815	-0.2539	0.9536	0.0610	-0.3052	0.7935	-15.1172	4.9054	57.1069	46.5100	148	96	42 
90.298	-0.0845	-0.2534	0.9521	0.0000	0.2441	0.7935	-15.1117	4.9054	57.0795	46.5100	148	96	42 
90.309	-0.0835	-0.2529	0.9561	0.0610	0.4272	0.7935	-15.1062	4.9109	57.0905	46.5000	153	89	51 
90.309	-0.0830	-0.2529	0.9565	0.2441	-0.0610	0.6714	-15.0952	4.9109	57.1014	46.5000	153	89	51 
90.334	-0.0835	-0.2520	0.9561	0.1221	-0.4272	0.5493	-15.0897	4.9109	57.1289	46.4900	149	85	43 
90.335	-0.0845	-0.2544	0.9570	-0.2441	-0.4883	0.3662	-15.0842	4.9054	57.1509	46.4900	151	89	45 
90.335	-0.0840	-0.2559	0.9561	-0.4883	-0.1831	0.2441	-15.0842	4.8999	57.1564	46.5100	151	89	45 
90.335	-0.0845	-0.2578	0.9570	-0.5493	0.5493	0.1221	-15.0897	4.9054	57.1948	46.5000	151	83	39 
90.353	-0.0869	-0.2617	0.9512	-0.5493	2.0752	0.0000	-15.1007	4.9274	57.2223	46.5000	154	88	44 
