StartTime: 2016-05-10 20:59:01.990
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
90.354	-0.0898	-0.2642	0.9497	-0.5493	2.3804	-0.1831	-15.1117	4.9493	57.2333	46.4900	154	88	44 
90.377	-0.0918	-0.2651	0.9487	-0.3052	2.0142	-0.3662	-15.1282	4.9768	57.2278	46.5000	163	97	43 
90.419	-0.0918	-0.2646	0.9497	0.0000	1.0986	-0.4883	-15.1337	4.9933	57.2223	46.5000	163	97	43 
90.435	-0.0879	-0.2578	0.9453	0.6104	-1.7090	-0.6714	-15.1337	4.9878	57.1948	46.5000	155	95	51 
90.435	-0.0845	-0.2559	0.9473	0.6104	-2.9297	-0.6714	-15.1282	4.9603	57.1783	46.5000	147	89	41 
90.446	-0.0811	-0.2524	0.9473	0.4883	-3.3569	-0.6104	-15.1227	4.9219	57.1783	46.5000	147	89	41 
90.446	-0.0781	-0.2505	0.9473	0.3052	-3.0518	-0.5493	-15.1117	4.8889	57.1783	46.5000	153	91	43 
90.446	-0.0742	-0.2500	0.9482	0.0610	-0.1221	-0.2441	-15.1062	4.8669	57.1674	46.5000	143	89	43 
90.446	-0.0767	-0.2524	0.9487	-0.1221	1.6479	-0.1221	-15.1007	4.8615	57.1454	46.5000	143	89	43 
90.447	-0.0791	-0.2534	0.9482	-0.2441	3.1128	0.0610	-15.1007	4.8889	57.1179	46.4900	158	98	46 
90.447	-0.0820	-0.2554	0.9502	-0.3052	3.6621	0.1831	-15.1007	4.9219	57.0905	46.4900	158	98	46 
90.477	-0.0879	-0.2563	0.9517	-0.0610	2.5024	0.4272	-15.1062	4.9548	57.1179	46.5000	164	92	42 
90.494	-0.0903	-0.2559	0.9526	0.0610	0.8545	0.4883	-15.1007	4.9713	57.1289	46.5000	149	93	37 
90.496	-0.0908	-0.2554	0.9521	0.1221	-0.9155	0.4883	-15.1007	4.9713	57.1234	46.5000	149	93	37 
90.496	-0.0894	-0.2549	0.9521	0.1221	-2.2583	0.4883	-15.0952	4.9548	57.1234	46.5000	152	92	44 
90.523	-0.0830	-0.2549	0.9531	0.0610	-2.5635	0.3662	-15.0897	4.9274	57.1399	46.5000	143	83	43 
90.596	-0.0835	-0.2534	0.9531	-0.0610	-1.5259	0.2441	-15.0842	4.9109	57.1564	46.5000	143	83	43 
90.633	-0.0850	-0.2539	0.9546	-0.1221	0.0610	0.1221	-15.0842	4.9109	57.2168	46.5000	157	83	39 
90.636	-0.0854	-0.2544	0.9531	-0.1221	1.7090	0.0000	-15.0842	4.9274	57.2717	46.5000	157	83	39 
90.673	-0.0913	-0.2563	0.9541	-0.1831	3.2349	-0.2441	-15.0842	4.9603	57.2113	46.4700	145	95	49 
90.673	-0.0928	-0.2563	0.9507	-0.1831	2.8076	-0.3662	-15.0842	4.9933	57.1454	46.4800	137	91	39 
90.674	-0.0933	-0.2568	0.9507	-0.1831	1.4648	-0.4272	-15.0897	5.0153	57.0850	46.4800	137	91	39 
90.674	-0.0918	-0.2573	0.9478	-0.2441	-0.3052	-0.3662	-15.0952	5.0208	57.0959	46.4900	148	86	44 
90.675	-0.0869	-0.2588	0.9497	-0.1831	-3.4180	-0.1831	-15.1007	4.9933	57.0959	46.5000	146	90	46 
90.675	-0.0815	-0.2588	0.9478	-0.1831	-3.9673	-0.1831	-15.1007	4.9548	57.0795	46.5000	146	90	46 
90.675	-0.0776	-0.2598	0.9443	-0.1221	-3.7842	-0.1221	-15.1062	4.9109	57.0959	46.5000	154	92	40 
90.675	-0.0752	-0.2598	0.9443	-0.1221	-2.7466	-0.0610	-15.1117	4.8724	57.1069	46.5100	154	92	40 
90.675	-0.0767	-0.2578	0.9482	0.3052	0.3052	0.0000	-15.1172	4.8615	57.1289	46.4900	149	85	41 
90.676	-0.0781	-0.2568	0.9497	0.4883	1.5869	0.0000	-15.1117	4.8615	57.1454	46.5000	155	89	41 
90.676	-0.0806	-0.2539	0.9492	0.4883	2.5635	0.0000	-15.1062	4.8834	57.1619	46.4900	155	89	41 
90.677	-0.0850	-0.2520	0.9497	0.4272	3.0518	0.0000	-15.0952	4.9109	57.1069	46.5000	143	95	39 
90.677	-0.0903	-0.2524	0.9551	0.0610	2.5635	0.1831	-15.0897	4.9438	57.0740	46.5000	149	91	39 
90.703	-0.0928	-0.2544	0.9541	-0.1831	1.7090	0.1221	-15.0842	4.9713	57.0630	46.4900	149	91	39 
90.707	-0.0952	-0.2563	0.9531	-0.3052	0.6104	0.0610	-15.0897	4.9878	57.0410	46.4900	149	93	45 
90.708	-0.0933	-0.2578	0.9536	-0.3052	-0.6104	0.0610	-15.0952	4.9933	57.0190	46.4900	149	93	45 
90.708	-0.0903	-0.2573	0.9531	0.0000	-2.4414	0.0610	-15.0952	4.9768	56.9971	46.5000	153	97	47 
90.721	-0.0869	-0.2573	0.9507	0.0000	-2.8076	0.0000	-15.0952	4.9548	56.9861	46.5100	160	94	52 
90.740	-0.0835	-0.2563	0.9512	-0.0610	-2.8076	-0.0610	-15.0952	4.9274	56.9971	46.5000	160	94	52 
90.801	-0.0815	-0.2573	0.9492	-0.1221	-2.4414	-0.1221	-15.0952	4.8999	57.0630	46.4900	156	82	44 
90.827	-0.0786	-0.2578	0.9502	-0.1221	-1.0376	-0.1831	-15.0952	4.8779	57.0905	46.5000	157	95	49 
90.827	-0.0781	-0.2588	0.9468	-0.0610	0.0610	-0.1831	-15.1007	4.8669	57.0795	46.5100	157	95	49 
90.845	-0.0796	-0.2593	0.9482	-0.0610	0.9766	-0.1831	-15.1062	4.8724	57.0520	46.5200	152	96	38 
90.862	-0.0811	-0.2578	0.9478	0.0000	1.5869	-0.1831	-15.1062	4.8834	57.0300	46.5100	152	96	38 
90.862	-0.0845	-0.2563	0.9478	0.1221	1.7700	-0.1221	-15.1117	4.8999	57.0245	46.5000	151	91	37 
90.862	-0.0869	-0.2544	0.9482	0.1831	1.3428	-0.1221	-15.1062	4.9164	57.0245	46.4900	153	91	41 
90.862	-0.0859	-0.2544	0.9492	0.1221	0.7324	-0.1221	-15.1062	4.9274	57.0300	46.5000	153	91	41 
90.862	-0.0884	-0.2539	0.9492	0.0000	0.1831	-0.0610	-15.1007	4.9329	57.0300	46.4800	153	93	39 
90.863	-0.0869	-0.2563	0.9487	-0.1831	-0.4272	0.1221	-15.1007	4.9329	57.0410	46.5000	152	88	40 
90.863	-0.0864	-0.2563	0.9487	-0.1831	-0.3662	0.1831	-15.1062	4.9329	57.0630	46.5000	152	88	40 
90.874	-0.0859	-0.2559	0.9502	-0.0610	-0.1831	0.1831	-15.1062	4.9329	57.0465	46.5100	154	96	40 
90.874	-0.0850	-0.2568	0.9512	-0.0610	0.0610	0.1221	-15.1062	4.9329	57.0355	46.5100	154	96	40 
90.892	-0.0869	-0.2563	0.9517	0.0610	0.4883	0.0610	-15.1062	4.9384	57.0850	46.5000	153	83	37 
90.893	-0.0859	-0.2559	0.9526	0.0610	0.4883	0.0610	-15.1007	4.9438	57.1124	46.5000	154	92	44 
90.893	-0.0884	-0.2554	0.9531	0.0610	0.4883	0.0610	-15.1007	4.9493	57.1124	46.5000	154	92	44 
90.904	-0.0859	-0.2559	0.9512	0.0610	0.3052	0.1221	-15.1007	4.9548	57.0465	46.5000	139	93	49 
90.905	-0.0859	-0.2563	0.9512	-0.0610	-0.1831	0.0000	-15.1007	4.9548	57.0190	46.4800	161	95	45 
90.932	-0.0869	-0.2573	0.9507	-0.1831	-0.3662	0.0000	-15.1007	4.9548	57.0300	46.4700	161	95	45 
90.942	-0.0859	-0.2573	0.9507	-0.1221	-0.5493	0.0000	-15.1007	4.9493	57.0300	46.4700	152	92	44 
90.942	-0.0840	-0.2568	0.9473	0.0000	-0.6714	-0.0610	-15.1007	4.9438	57.0300	46.4900	152	92	44 
90.943	-0.0815	-0.2568	0.9487	0.1221	-0.7935	0.0000	-15.1007	4.9329	57.0630	46.4900	151	85	39 
90.964	-0.0811	-0.2554	0.9487	0.1221	-0.7324	0.0000	-15.1007	4.9219	57.0740	46.4900	155	95	51 
90.993	-0.0815	-0.2549	0.9482	0.0610	-0.6104	0.0610	-15.1007	4.9109	57.0575	46.4900	155	95	51 
91.033	-0.0811	-0.2554	0.9497	0.0610	-0.3662	0.1221	-15.0952	4.8999	57.0190	46.5000	149	97	39 
91.034	-0.0825	-0.2554	0.9487	0.1221	0.4883	0.1221	-15.0952	4.8999	57.0135	46.5000	157	91	41 
91.036	-0.0835	-0.2549	0.9492	0.1221	0.7935	0.1221	-15.0952	4.9054	57.0355	46.5000	157	91	41 
91.036	-0.0840	-0.2544	0.9507	0.0610	1.1597	0.1831	-15.0897	4.9164	57.0355	46.5000	152	92	50 
91.054	-0.0859	-0.2554	0.9521	0.0000	1.2207	0.1221	-15.0897	4.9274	57.0245	46.5000	152	92	50 
91.055	-0.0879	-0.2563	0.9531	-0.1221	0.9766	0.1221	-15.0897	4.9438	57.0355	46.4900	152	88	46 
91.056	-0.0874	-0.2568	0.9536	-0.0610	0.7324	0.1221	-15.0897	4.9548	57.0630	46.4900	153	85	37 
91.056	-0.0889	-0.2573	0.9521	-0.0610	0.4272	0.1831	-15.0897	4.9603	57.1014	46.5000	153	85	37 
91.080	-0.0894	-0.2563	0.9536	-0.1221	0.0610	0.3052	-15.0897	4.9658	57.0630	46.5000	146	94	48 
91.082	-0.0903	-0.2549	0.9487	-0.1221	-0.1221	0.5493	-15.0897	4.9713	57.0685	46.5000	153	85	41 
91.128	-0.0918	-0.2559	0.9473	-0.2441	-0.1221	0.7935	-15.0897	4.9823	57.1124	46.5000	153	85	41 
91.128	-0.0918	-0.2559	0.9507	-0.1831	-0.1831	1.1597	-15.0952	4.9878	57.1289	46.5100	148	92	44 
91.129	-0.0928	-0.2573	0.9502	-0.1221	-0.4883	1.4038	-15.0952	4.9933	57.1234	46.5100	148	92	44 
91.142	-0.0898	-0.2568	0.9482	-0.1221	-2.1973	1.8311	-15.0952	4.9878	57.1509	46.5000	153	89	49 
91.143	-0.0879	-0.2559	0.9497	-0.1221	-3.5400	1.8921	-15.0952	4.9713	57.1674	46.5200	154	94	46 
91.143	-0.0830	-0.2568	0.9502	-0.0610	-5.0659	1.7700	-15.0897	4.9329	57.1838	46.5100	154	94	46 
91.144	-0.0762	-0.2578	0.9502	-0.0610	-6.1646	1.5259	-15.0897	4.8669	57.2003	46.5000	150	90	52 
91.144	-0.0688	-0.2588	0.9517	0.0000	-5.9814	0.9766	-15.0952	4.7955	57.2113	46.5000	157	97	39 
91.177	-0.0659	-0.2578	0.9526	0.2441	-4.3335	0.4883	-15.0897	4.7296	57.2223	46.4900	157	97	39 
91.177
