 
83.553	0.2307	-0.5273	-52.6245	2441	2085	1969	2197 
83.564	0.2307	-0.5273	-52.6245	2427	2095	1984	2194 
83.575	0.2307	-0.5273	-52.6245	2418	2088	1980	2202 
83.585	0.2362	-0.5328	-52.6245	2412	2105	1983	2215 
83.607	0.2307	-0.5328	-52.6245	2412	2109	1988	2210 
83.607	0.2307	-0.5328	-52.6245	2418	2113	1993	2191 
83.607	0.2307	-0.5328	-52.6245	2427	2116	1996	2190 
83.630	0.2307	-0.5328	-52.6245	2415	2153	1965	2198 
83.641	0.2307	-0.5328	-52.6245	2425	2082	1966	2191 
83.641	0.2362	-0.5328	-52.6245	2425	2089	1980	2201 
83.665	0.2362	-0.5328	-52.6245	2426	2116	1983	2213 
83.677	0.2362	-0.5328	-52.6245	2418	2113	1994	2214 
83.677	0.2362	-0.5328	-52.6245	2423	2115	1996	2191 
83.688	0.2362	-0.5328	-52.6245	2411	2150	1967	2195 
83.688	0.2362	-0.5328	-52.6245	2417	2084	1979	2198 
83.724	0.2362	-0.5328	-52.6245	2421	2086	1978	2213 
83.735	0.2362	-0.5328	-52.6245	2425	2089	1977	2215 
83.746	0.2362	-0.5328	-52.6245	2416	2112	1993	2213 
83.746	0.2362	-0.5328	-52.6245	2426	2116	1996	2192 
83.760	0.2362	-0.5328	-52.6245	2427	2117	1995	2195 
83.771	0.2362	-0.5328	-52.6245	2432	2155	2011	2193 
83.771	0.2362	-0.5328	-52.6245	2435	2157	1970	2197 
83.771	0.2307	-0.5328	-52.6245	2422	2089	1982	2201 
83.782	0.2362	-0.5328	-52.6245	2426	2090	1981	2203 
83.793	0.2362	-0.5273	-52.6245	2426	2115	1980	2212 
83.804	0.2362	-0.5273	-52.6245	2422	2112	1977	2210 
83.815	0.2362	-0.5273	-52.6245	2422	2111	2003	2219 
83.826	0.2307	-0.5328	-52.6245	2420	2155	2010	2185 
83.836	0.2362	-0.5328	-52.6245	2421	2156	2009	2187 
83.847	0.2307	-0.5328	-52.6245	2418	2088	1979	2201 
83.847	0.2307	-0.5328	-52.6245	2416	2087	1969	2198 
83.859	0.2307	-0.5328	-52.6245	2429	2091	1980	2203 
83.870	0.2307	-0.5328	-52.6245	2422	2087	1979	2216 
83.881	0.2307	-0.5273	-52.6245	2410	2107	1985	2209 
83.893	0.2307	-0.5273	-52.6245	2428	2118	1984	2210 
83.935	0.2307	-0.5273	-52.6245	2429	2115	1983	2215 
83.946	0.2307	-0.5273	-52.6245	2430	2120	1998	2215 
83.946	0.2307	-0.5273	-52.6245	2427	2117	1997	2217 
83.946	0.2307	-0.5273	-52.6245	2433	2107	2000	2214 
83.957	0.2307	-0.5273	-52.6245	2428	2117	1996	2215 
83.957	0.2307	-0.5273	-52.6245	2421	2109	2000	2213 
83.957	0.2307	-0.5273	-52.6245	2433	2112	1992	2215 
83.978	0.2307	-0.5273	-52.6245	2416	2107	1997	2214 
83.989	0.2307	-0.5219	-52.6245	2417	2107	1998	2218 
83.999	0.2362	-0.5219	-52.6245	2414	2108	2000	2187 
84.010	0.2362	-0.5219	-52.6245	2414	2150	2009	2191 
84.021	0.2362	-0.5219	-52.6245	2430	2087	1971	2201 
84.031	0.2362	-0.5219	-52.6245	2411	2081	1975	2201 
84.042	0.2307	-0.5219	-52.6245	2414	2108	1986	2206 
84.052	0.2307	-0.5219	-52.6245	2419	2108	1999	2217 
84.052	0.2307	-0.5219	-52.6245	2426	2119	1995	2195 
84.063	0.2307	-0.5219	-52.6245	2432	2153	2012	2192 
